순서,지명(영문),지명(한국어),등장 Book,사건 요약,전통적 비정 위치,위도,경도,확실성,머문 기간/소요
1,Troy (Ilium),트로이(일리온),IX,트로이 함락 후 출항 — 여정의 출발점,"히사를리크 유적, 튀르키예 차나칼레주",39.9576,26.2388,실제 지명,출발
2,Ismarus,이스마로스,IX,키코네스족의 도시를 약탈 → 역습당함 → 북풍 폭풍,"마로네이아 부근, 그리스 트라키아",40.876,25.518,실제 지명,짧은 약탈
3,Cape Malea,말레아곶,IX,펠로폰네소스 남단을 돌다 조류·북풍에 항로 이탈,"말레아곶, 그리스 라코니아",36.4331,23.194,실제 지명,통과 중 표류 시작
4,Cythera,키테라섬,IX,"말레아에서 떠밀려 키테라 쪽으로, 이후 9일간 표류","키티라섬, 그리스",36.15,22.996,실제 지명,9일 표류
5,Land of the Lotophagi (Lotus-eaters),로토파고이(연꽃 먹는 사람들)의 땅,IX,표류 10일째 도착. 로토스를 먹은 부하들이 귀향 의지를 잃음,"제르바섬, 튀니지 (또는 리비아 해안) — 전통적 비정",33.807,10.845,신화 · 전통적 비정,짧게 정박
6,Land of the Cyclopes (Polyphemus' cave),키클롭스(폴리페모스)의 땅,IX,"먼저 앞바다 '염소 섬'에 상륙 → 본토로 건너가 폴리페모스 동굴, 부하 6명 잡아먹힘, 괴물을 취하게 해 눈을 멀게 하고 탈출. 포세이돈의 분노를 삼","에트나 화산 기슭 · 아치트레차, 시칠리아 — 전통적 비정",37.558,15.166,신화 · 전통적 비정,며칠
7,Aeolia (island of Aeolus),아이올리아(아이올로스의 섬),X,"바람의 신 아이올로스가 한 달간 환대, 떠날 때 바람을 자루에 묶어 줌","스트롬볼리 · 리파리, 아이올리에 제도, 이탈리아 — 전통적 비정",38.793,15.213,신화 · 전통적 비정,한 달 환대
8,"(near Ithaca, then blown back to Aeolia)",(이타카 목전에서 다시 아이올리아로),X,"귀향 직전 부하들이 바람 자루를 엶 → 폭풍에 아이올리아로 역행, 아이올로스가 재도움을 거절",이타카 인근 해상 → 아이올리에 제도,38.793,15.213,서사상 되돌아옴,9~10일 항해 후 역행
9,"Telepylus, land of the Laestrygonians",텔레필로스 · 라이스트리고네스족의 땅,X,"6일 항해 후 도착. 라모스가 세운 도시, 안티파테스 왕, 아르타키아 샘. 식인 거인들이 함대를 파괴, 오디세우스의 배 1척만 생존","보니파초(코르시카–사르데냐 해협), 이탈리아 — 전통적 비정 (북부 시칠리아설도 있음)",41.389,9.159,신화 · 전통적 비정(이설 있음),6일 항해 · 짧은 정박
10,Aeaea (island of Circe),아이아이에(키르케의 섬),X,"마녀 키르케가 부하 절반을 돼지로 변신시킴. 헤르메스의 도움으로 저항, 부하들을 되돌림. 만 1년 체류","몬테 치르체오(치르체오곶), 라치오, 이탈리아 — 전통적 비정",41.24,13.089,신화 · 전통적 비정,만 1년
