순서,지명(영문),지명(한국어),국가/지역,도착(작중 날짜),출발(작중 날짜),다음 구간 이동수단,선박/노선,위도,경도,여정 일차(10/2=0),일정 상태,사건 요약
1,London — Reform Club,런던 — 리폼 클럽,England / UK,,1872-10-02 20:45,철도 (rail),도버행 열차 + 해협 연락선,51.5074,-0.1395,0,출발,2만 파운드 내기 성립 — 12월 21일 20:45까지 귀환하면 승리
2,Paris,파리,France,1872-10-03 07:20,1872-10-03 08:40,철도 (rail),북역·리옹역 경유,48.8566,2.3522,1,정시,파스파르투는 차창 밖 파리만 봄
3,Turin (via Mont Cenis),토리노 (몽스니 고개 경유),Italy,1872-10-04 06:35,1872-10-04 07:20,철도 (rail),몽스니 산악철도,45.0703,7.6869,2,정시,
4,Brindisi,브린디시,Italy,1872-10-05 16:00,1872-10-05 17:00,증기선 (steamer),P&O 「몽골리아」호,40.6383,17.9463,3,정시,「몽골리아」호 승선
5,Suez,수에즈,Egypt,1872-10-09 11:00,1872-10-09,증기선 (steamer),「몽골리아」호,29.9737,32.5263,7,정시 (158.5시간 = 6.5일),"형사 픽스가 대기, 여권 확인. 이 시점 손익 0"
6,Aden,아덴,Yemen,1872-10-13,1872-10-13,증기선 (steamer),「몽골리아」호,12.7797,45.0095,11,약 15시간 선행,석탄 보급 기항
7,Bombay,봄베이 (뭄바이),India,1872-10-20,1872-10-20 20:00,철도 (rail),인도반도대철도(GIP),18.9388,72.8354,18,2일 선행,파스파르투가 말라바르 힐 파고다에서 신발 신고 들어가 소동
8,Kholby (fictional station),콜비 (가공의 역),India,1872-10-22,1872-10-22,코끼리 (elephant),코끼리 「키우니」 (2천 파운드에 구입),21.3,76.35,20,지연 발생,철도 미완성 — 알라하바드까지 80km 공백. 순장(수티) 위기의 아우다 부인 구출
9,Allahabad,알라하바드 (프라야그라지),India,1872-10-22 22:00,1872-10-22,철도 (rail),GIP 재개,25.4358,81.8463,20,,철도 재개 — 24시간 내 캘커타 도착 가능
10,Benares,베나레스 (바라나시),India,1872-10-23,1872-10-23,철도 (rail),GIP,25.3176,82.9739,21,,프랜시스 크로마티 경이 일행과 헤어짐
11,Calcutta,캘커타 (콜카타),India,1872-10-25 07:00,1872-10-25 12:00,증기선 (steamer),P&O 「랑군」호,22.5726,88.3639,23,정시 (인도에서 선행 2일 소진),포그와 파스파르투가 파고다 사건으로 재판·잠시 구금 후 보석
12,Singapore,싱가포르,Straits Settlements,1872-10-30,1872-10-30,증기선 (steamer),「랑군」호,1.2903,103.852,28,약 반나절 선행,"석탄 보급, 약 4시간 정박"
13,Hong Kong,홍콩,China (British),1872-11-06,1872-11-07 15:00,외륜 파일럿보트 (pilot-boat),"「탕카데르」호 (20톤, 존 번스비) — 상하이행",22.3193,114.1694,35,24시간 지연 (예정 11/5),「카르나틱」호가 파스파르투 없이 조기 출항. 아편굴 사건. 포그가 소형 범선 「탕카데르」호를 전세
14,Shanghai,상하이,China,1872-11-11 19:00,1872-11-11,증기선 (steamer),미국 우편선 「제너럴 그랜트」호 (해상에서 정선시킴),31.2304,121.4737,40,막판에 따라잡음,요코하마–샌프란시스코 정기선을 상하이 앞바다에서 세워 승선
15,Yokohama,요코하마,Japan,1872-11-14,1872-11-14,증기선 (steamer),「제너럴 그랜트」호,35.4437,139.638,43,약 24시간 지연,곡예단에 있던 파스파르투와 재회. 픽스도 승선
16,180th meridian (Pacific),180도 자오선 통과 (태평양),(International Date Line),1872-11-23,,증기선 (steamer),「제너럴 그랜트」호,40.0,179.99,52,52일 소진·28일 남음,런던의 정반대 지점. 동쪽으로 이동하며 '하루'를 몰래 벌고 있음 (본인은 모름)
17,San Francisco,샌프란시스코,USA,1872-12-03,1872-12-03 18:00,철도 (rail),태평양횡단철도 (센트럴 퍼시픽→유니언 퍼시픽),37.7749,-122.4194,62,약 1일 지연 (예정 12/2),정치 집회 난투극. 스탬프 프록터 대령과 시비
18,Sacramento,새크라멘토,USA,1872-12-03,1872-12-03,철도 (rail),센트럴 퍼시픽,38.5816,-121.4944,62,,야간 출발
19,Ogden,오그던,USA,1872-12-05,1872-12-05,철도 (rail),센트럴/유니언 퍼시픽 접속역,41.223,-111.9738,64,,
20,Great Salt Lake / Salt Lake City,그레이트솔트레이크 / 솔트레이크시티,USA,1872-12-05 21:30,1872-12-05,철도 (rail),유니언 퍼시픽,40.7608,-111.891,64,,'모르몬 역사 강의' 장 — 승객이 포그 일행에게 설교
