review,label,movie,group
"Despite of the success in comedy or drama, the Turkish directors are failure in horror-thriller. ""Okul-D@bbe"" are good examples for the awful horror Turkish films. But if you watch ""Gen"" you will understand that it is a strike. The atmosphere of the movie is impressive and dark. Also the special features are colorful and not cheap. The soundtracks fit the movie, but the script is not totally perfect and the theme of the movie is ordinary. As a result ""Gen"" does not add any difference to horror movies, but it does not disappoint thriller fans. In this respect it is a success for Yesilcam and Turkey. (7/10)",1,Gen (2006),F
"What a terrible movie this was! I made it about 50 minutes into it and started skipping chapters until the end. The plot is nothing special, and the dialog from the movie deviates from the main story so much that your head will explode out of rage. Many useless minutes wasted just listening to characters jabber on about something irrelevant to the plot, AND/OR something that could said in a shorter amount of time. The camera work is shaky, and grainy. It seemed Mr. Milligan needed to take his finger off of the zoom button! I noticed also that at some points during this movie it seemed that Andy was having seizures, and would uncontrollably shake the camera. The splices between scenes were jumpy and didn't flow. The murder scenes were nothing special - incredibly, and laughably fake. Barely any gore, as the title suggests. This movie runs about 1 hour 20 minutes and the murder scenes take up about 1 minute TOTAL of the whole movie - if that. What a wretched piece of garbage this movie was. Andy Milligan is in fact probably one of the worst directors to plague mankind with his talentless directing, and camera-work. Usually, I can make it through really bad horror movies, and laugh about it later. BLOODTHIRSTY BUTCHERS, however, I can't. I am just angry I wasted an hour and a half of my life watching this (what I wouldn't do to gain it back). Take my suggestion, and DO NOT see this movie unless you plan on falling asleep. TERRIBLE.",0,Bloodthirsty Butchers (1970),F
"Yet another venture into the realm of the teen-gross-out-comedy, set on a college campus featuring a nerd's quest to coolness, and how he decides to blackmail a trio of popular jocks into making him get the girl. It's all been done before, and it's all been done in a far more satisfying manner. The gross-out humor that has made teen flicks like ""American Pie"" and ""Dude! Where's my Car"" so popular is taken completely out of context in this installment, appearing so completely at random that the viewer can only frown and disapprove. The film is badly written, and the actors never succeed in making any of it even slightly bearable. I won't even dignify this terrible picture by divulging, as it's a waste of my time and yours. At best, Slackers never manages to entertain or induce laughter, and at worst it is excruciatingly bad and at times completely unwatchable. Jason Schwarzman, who impressed in his debut Rushmore, humiliates himself by appearing in this picture and one wonders how a career can end up in the toilet so fast. Please avoid, please avoid. Save your money.",0,Slackers (2002),F
"I've seen some very terrible horror movies in my time, and while this isn't the worst of the bunch, it's certainly in the lower half. The script starts off OK. A young doctor goes to a hospital as an intern, hoping it will vault him to a better job for him and his future wife. Cute huh? The movie then heads straight into the toilet when you realize that something is killing patients. Turns out that there's a demon on the basement that's harvesting people's souls. It's the job of the 1 doctor, 1 nurse, and 1 security guard in the entire hospital staff to drag this mental patient downstairs, do a ritual that pretty much just involves cutting the tongue out, and then allowing the haunted house prop of a demon to come out and steal his soul through the magic of cheesy special effects. At this point the movie gets so ridiculously stupid, I was begging for it to be over. There was still an hour to go. It looked like a half an hour ""Tales From the Crypt"" episode that somehow got stretched into an hour and a half crap-fest. From Tiny Lister doing his best John Coffey (The Green Mile) impersonation to Tracy Scoggins playing the stereotypical frigid Nurse Ratchet, this movie fails in every possible level. I gave this 2 stars for only TWO reason. 1) His fiancé is pretty hot, she eased the pain a little towards the end and 2) The movie actually looks OK, a lot better than the current trend of horror movies being made with wal-mart quality home cameras. In the end, avoid this turd even if you have the Blockbuster movie pass (which I do, and I still felt cheated). As a bonus drinking game, you and your buddies take a shot every time Matt Stasi (Dr. James Bishop) shakes his head while talking. You'll be drunk 15 minutes into the movie.",0,Hellborn (2003),F
Izzard was both hysterical and insightful in his humor. He definitely represents his own little niche in the comedic world. It's a pity more Americans won't see this stand-up routine due to its PAL-only availability.,1,Eddie Izzard: Dress to Kill (1998),F
"So much for JUDGE AND JURY, which lives up to its nonsense title. What good is there? The lighting is terribly foggy! Another horror movie you ask? Well, that's perfectly explainable. David Keith actually does pretty good at disguising clowns, chefs, and other shenanigans while being the killer who escaped death row. But overall, despite some new twists, it's reasonably stupid. Unapix has been putting out some ludicrous productions recently, and this one only means so much. We, the jury, find this film guilty for its indecent exposure to many of us sitting around believing it's a total waste of our time!",0,Judge & Jury (1996),F
"Felt mine was while watching this...but it seems that is the reason for insanity running in the family in this film. Not that makes a lot of sense anyway, as others have mentioned, this was one of Karloff's last films and it's only his screen presence that lends it any credibility at all. It's sad that all of the great legends of the horror films in the sound era were eventually reduced to starring in low grade rubbish like this. Marginally, Boris did get off slightly better than poor old Bela Lugosi but not by much. Boris does his best and give him credit for trying to hold this mess together. The strident background music doesn't help and distracts from any lucid moment. Apart from Boris, the rest of the Mexican cast are dubbed into some strange, clipped, English monotone that is reminiscent of the type used in porn films of the late seventies. At a guess I think it's Edgar Allen Poe's 'House of Usher' that this is taken from but you'd be hard pressed to find a great deal of Poe in the finished article. Still, there are far better films out there with Boris Karloff at his best, search them out and give this a wide berth, unless you want the curse of the 'shrinking brain' too!",0,House of Evil (1968),F
"Notable only as the acting debut of future big-time Hollywood starlet, Sandra Bullock, this ludicrous action flick is so full of holes that one might easily suspect termite infestation. The storyline is incomprehensible and very poorly thought out. The production values stink of cheese. In fact, a total LACK of production values would have been better...at least the film might have seemed grittier that way. The ADR is laughably bad and omni-present in the film. It's debatable as to whether or not ANY of the dialogue tracks from the actual shoot were used. The performances are, for the most part, horrible, though there are a few exceptions. In those exceptions, however, the performances are undermined by the fact that the director was obviously giving the actors poor direction and making them act completely out of character at times. (i.e. characters going from passive to panicked in the blink of an eye. Bad Direction.) Also, the constant ""weapon sound effects"" (magazines being loaded, slides being cocked, etc.) are completely overused and, more often than not, totally out of sync with the on-screen actions. Add to this cheesy ""Bad Guy"" vocal distortion for the lead villain (mainly so that you KNOW he's the villain in this incomprehensible mess of a film), and you have a recipe for disaster. The situations in the film go well beyond standard ""suspension of disbelief"" and become downright laughable. One lead character spends a good portion of the film tied to a chair before he DECIDES to use the butterfly knife tucked in his sock in order to free himself. So, my questions are...why didn't he do this sooner, and why does he even HAVE the butterfly knife. He wasn't searched? RIGHT. This is one of a hundred examples of completely ludicrous situations which have somehow been crammed into this 90-minute package. In whole, ""The Hangmen"" plays like an unbearably bad R-rated TV movie from the '80s. If not for the subsequent success of Sandra Bullock, this would have NEVER found its way to DVD. But it has, so my only advice is to steer clear. Watching this film may actually impair your IQ.",0,Hangmen (1987),F
"Black Scorpion is Roger Cormen's Batman. Which is cool and there is a lot of cool stuff in this movie. Like the Breathtaker being a cross between Doctor Doom and Darth Vader, that's kind of cool. The mind control gas in the inhalers was worthy of the Mad Hatter. The Cormen B-movie style is all over this puppy which is not always a good thing. There are plenty of stunts and hot babes to make any action fan happy. This movie, the good out weighs the bad. But if you aren't one for comic book movies, then I would advise not watching Black Scorpion, however if you like comic book like movies and don't care if it was ever a comic before. Then check out BLACK SCORPION, as for me I give it 8 STARS.",1,IMDb tt0115695,F
"Don't read anything about this movie (especially nothing that could contain any spoilers). Just watch this awesome movie without knowing anything about it - and you'll have a really great experience. If you like to see an intelligent, twisted story: Go, get the DVD and you'll truly not be disappointed. ""Cypher"" is not really a sci-fi movie, more a psycho thriller settled in the environment of globalized business. It's about corporate secrets, how big companies spy each others research departments and the methods used by them. The actors do a great performance and the overall visual style of the movie provides a perfect mode of coldness. Cypher is much deeper, more complex and - what belongs the story and the ending - also much, much more satisfying than Vincenzo Natali's other movies ""Cube"" and ""Nothing"". Actually it's one of the best movies I've ever seen (and that's something I really don't say this about every fifth well-made flick). Sorry, can't tell you anything more about this movie without risking to hurt your experience. Just give it a chance. ;-)",1,Cypher (2002),F
