review,label,group
"Hitokiri (which translates roughly as ""assassination""), a/k/a ""Tenchu"" which translates roughly as ""divine punishment"") showcases Hideo Gosha at the top of his form. Do NOT miss this one, or Gosha's other classic, Goyokin! Hitokiri is not only one of Gosha's best films, it's one of the best ""samurai/chambara"" films ever made, and perhaps one of the best Japanese films ever exported.  Be warned, all of the intricate plot details in Hitokiri can be a little hard to follow for those unfamiliar with 19th century Japanese history. Even so, the underlying human drama is obvious and open to all viewers. As per the norm for Gosha, Hitokiri provides yet another variation on his traditional theme of ""loyalty to one's lord"" vs. ""doing the right thing"". However, Gosha develops his favorite theme with such sophistication, that it's really _the_ movie to see (along with Goyokin, of course).  I suppose it breaks down like this: If you want a simpler, more action-oriented tale, you might want to see Goyokin. However, if you want a more thoughtful, multilayered (albeit grim) drama, see this one.  (OK, OK, essentially, the historical backdrop is a massive power grap between many different samurai clans who are either (1) working to reform, yet retain, the Tokugawa Shogunate, and (2) those who are trying to install the Emperor Meiji as the supreme ruler of Japan. Of course, those clans working ""for"" Emperor Meiji were often less interested in ""reforming"" Japan than in ensuring their own clan more power in the ""new world order"". Ironically, the entire feudal system was officially abolished as one of the first reforms of the Meiji government. It's ironic twists like this -- Gosha's big on irony -- that make the entire plot all the more bittersweet.)  What distinguishes ""Hitokiri"" from Gosha's other movies is Gosha's mature sense of cinematography. Every shot is thoughtfully composed, and (much like Kubrick's Barry Lyndon) each frame of the movie could hold its own as a still composition. Of course, this is typical Gosha. Hitokiri really stands out with stunning backdrops, including(as with Goyokin) many riveting seascapes. Just watch the opening sequence, and you're hooked! Make no mistake, this is no English period piece: Hitokiri is extremely violent (don't say you weren't warned).  What else, other than cool camera work, makes Hitokiri stand out? The performances seem (to me) a bit more subtle in this one. Katsu Shintaro (of Zatoichi/Hanzo the Razor fame) turns in a star performance as the conflicted protagonist/antihero, Okada Izo. Katsu manages to instill humanity to a character that seems almost more wild animal than villain. Throughout the movie, you're never quite sure if you're engaged or revolted by Okada's character. At the same time, Katsu's portrayal of Okada's ravenous hunger for respect, and his later pathetic attempts at redemption, seem so human that you can't help but feel empathy/sympathy. Of course, after seeing Nakadai Tatsuya play the tortured hero in ""Goyokin"", it's great to see him play such a ruthless villain in ""Hitokiri"". He's just perfect, there's nothing more to say!  As a final note, perhaps more interesting to buffs than to casual fans, don't miss the last screen appearance of Mishima Yukio (yes, the closeted gay right-wing ultranationalist novelist who committed suicide by seppuku before the crowd of jeering Japanese military personnel he ""kidnapped"" in 1970, and had a movie on his life and work made by Paul Schrader), who actually does a pretty solid job of portraying the honorable (for an assassin) Shinbei Tanaka.",1,A
"Why is Guy working for Buddy? Probably because Ari was not around in 1995. Why does Dawn want to be with Guy? For access to Buddy. Why does she stay with Guy? I am not sure.  There are bunch of things about this movie that I am not sure about. But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  Frank Whaley's Guy is certainly out of his element working for Buddy  he wants to write and make meaningful movies, not be a gofer that is verbally abused for getting Equal instead of Sweet & Low.   Michelle Forbes' Dawn, who also wants to make meaningful movies, seems way out of Guy's league.  The ending leaves a lot to be desired.",0,A
"Anyone find it interesting that the Ood look strangely similar to the 'Great Cthulhu' of H P Lovecraft vintage? hmmm?   Great pair of episodes (not referring to Billie Piper as most seem to do!) in The impossible Planet and The Satan Pit.  Also the link to 'Legion' I think also used in Who before and also referring to Satan in various novels post Exorcist era...  Great suspense episodes utilising fear and faith elements. The new team for these 'who's are working great magic for TV.  This certainly creates new fears and 'hide behind the sofa' feelings not seen for many, many years in this continuation of a superb BBC series (pity it is confirmed by the BBC that Billie Piper is quitting - perhaps not permanently - after end of series 2) :O(((",1,A
"In the rapid economic development of 1990's in China, there is a resurgence of traditional Chinese culture, partially due to the rise of nationalism accompanied by the increase in wealth, and more importantly, due to the sense of spiritual belonging after the collapse of the old socialist ideology in the post Cultural-Revolutionary era.  However, the resurgence of Chinese traditional culture, namely, the Confucianism, was not without disasters, because Chinese are adopted the entire tradition without eliminating the bad part, and the discrimination against girls demonstrated in this film is an excellent example.  Moreover, not only the part that should be discarded were inherited, the good part that was supposed to be inherited, such as the traditional opera, and its technique, such as changing face, was ignored in the resurgence, and facing extinction.  The director used this film to criticize the problem of re-embracing tradition by contemporary China and this is the deeper meaning behind the movie.",1,A
"I can't tell you all how much I love this movie. I have read reviews that say that this move is ""too confusing"" or ""like swimming in drying concrete"". I say that these reviewers have no imagination! For anyone who loves Fantasy Fiction, this movie is for you. If you ever loved playing Dungeons & Dragons... this movie is for you, (especially if you got into the Oriental Adventures) I'm just sorry that I did not get to see this movie on the big screen. (Just more incentive to get my own big screen t.v. :-)",1,A
"To put it simply, Mind of Mencia is the worst, unfunniest show on Comedy Central, and quite possibly all of television... ever. I love Comedy Central and watch many shows and movies there all the time, but every time the intro for this show even starts after some good comedy, I can't find the remote fast enough.  Mencia tells used, worn out racial jokes in a bad attempt at being controversial, then will point out the ethnicity he just talked about in the audience as if to say 'they liked it, so all of your race likes it, and by extension me too'. Give me a break Mencia, I don't know if those people are plants or not, but just because you go to a black guy and high five him after one of your ridiculous jokes, doesn't mean he thinks you're funny, it just means you put him on the spot and what else is he going to do, smack you on TV? He gives the impression that his jokes are deep, meaningful, and thought provoking, which is apparent in his commercials, but when you actually watch the show almost 100% of what he says is common sense. He also claims that only smart people get some of his jokes, but you don't have to be any smarter than a monkey to understand what he just said when he says that, maybe you need to go finish 3rd grade Carlos. The guy goes on to say that he says what others are only thinking, but I think you'll find that if anyone was thinking what he says, they figured out all on their own that it was ridiculous, and that's why they never said it in the first place.  All in all, watch 1 episode and be done with it if you must, because after you've seen 1 episode, you've seen them all. Why Comedy Central keeps renewing this horrible show is well beyond me. If you're looking for good comedy, look elsewhere, because you will find very little of it here.",0,A
"Probably the most accurate Stephen King adaption yet. Not surprising, since King himself wrote the screenplay. The story follows the Creed family moving into a beautiful Maine house. One of the other residents is Jud, a pleasant old man who knows a few things about the area. One is the highway that runs right through their frontyard. The other is a path leading to the Pet Sematary, where children for decades have buried the animals killed by the highway. Soon enough, Ellie Creed's cat, Church, is found dead. Luckily, this happens while the family, with the exception of Louis(the father), is away for Thanksgiving. Jud takes Louis to another burial ground, beyond the Pet Sematary, where Church is to be buried. Later, Louis is greeted(not so politely) by Church. He's returned, appearing to have chewed his way out of the bag he had been buried in. Maybe he was buried alive. Maybe not. Nothing more I can say without ruining the story.  Of all the King adaptions I've seen this would be the most terrifying. The characters are real and the situations are normal. Mary Lambert does a great job directing the proceedings. Suspense is kept fairly high throughout the film, due in part to the plot development. The scene where Gage is killed will stick in your mind forever. Then, of course, we have the conclusion. Easy to determine what's going to happen, but Lambert pulls off some genuinely scary, and sometimes disturbing, moments.  Overall, this is a good film and an excellent adaption. If you enjoy being scared and don't mind being haunted by some occasionally disturbing images then ""Pet Sematary"" is just what you're looking for. Non Horror fans will want to avoid this.",1,A
"Vijay Krishna Acharya's 'Tashan' is a over-hyped, stylized, product. Sure its a one of the most stylish films, but when it comes to content, even the masses will reject this one. Why? The films script is as amateur as a 2 year old baby. Script is king, without a good script even the greatest director of all-time cannot do anything. Tashan is produced by the most successful production banner 'Yash Raj Films' and Mega Stars appearing in it. But nothing on earth can save you if you script is bland. Thumbs down!   Performances: Anil Kapoor, is a veteran actor. But how could he okay a role like this? Akshay Kumar is great actor, in fact he's the sole saving grace. Kareena Kapoor has never looked so hot. She looks stunning and leaves you, all stand up. Saif Ali Khan doesn't get his due in here. Sanjay Mishra, Manoj Phawa and Yashpal Sharma are wasted.  'Tashan' is a boring film. The films failure at the box office, should you keep away.",0,A
"Bizarre horror movie filled with famous faces but stolen by Cristina Raines (later of TV's ""Flamingo Road"") as a pretty but somewhat unstable model with a gummy smile who is slated to pay for her attempted suicides by guarding the Gateway to Hell! The scenes with Raines modeling are very well captured, the mood music is perfect, Deborah Raffin is charming as Cristina's pal, but when Raines moves into a creepy Brooklyn Heights brownstone (inhabited by a blind priest on the top floor), things really start cooking. The neighbors, including a fantastically wicked Burgess Meredith and kinky couple Sylvia Miles & Beverly D'Angelo, are a diabolical lot, and Eli Wallach is great fun as a wily police detective. The movie is nearly a cross-pollination of ""Rosemary's Baby"" and ""The Exorcist""--but what a combination! Based on the best-seller by Jeffrey Konvitz, ""The Sentinel"" is entertainingly spooky, full of shocks brought off well by director Michael Winner, who mounts a thoughtfully downbeat ending with skill. ***1/2 from ****",1,A
"There are bad movies, then there are the movies that are SO bad, that they become almost art. This is one of those films. My partner and I are still both kind of shell shocked, you know, staring off into space and drooling! You can tell that the people involved (I hope they changed their names to protect themselves) were having a blast, and they definitely weren't shy. I give this one a three out of ten just because of the gratuitous smut and REALLY bad gore effects. I laughed out loud during most of the movie, so I guess you could say that it showed me a good time. Beware viewer, the above words in no way construe that this is a good film, because it is not. All I can say in my defense, is that it was impossible to pass up a movie with such a GREAT title!",0,A
