review,label,movie,group,famous
"I only recently found out that Madeleine L'Engle's novel had been turned into a TV movie by Disney and ordered the DVD. The book was a favorite of mine when I was a child and I read it several times. Despite some of the child actors not resembling the characters as described in the novel, the Murry family is well cast, with a likable (if too pretty) Meg at the center and a Charles Wallace who is convincing as a child prodigy without becoming irritating. The first half hour is promising enough, doing a good job in establishing the relationships between the lead characters and at setting the scene. Unfortunately as soon as the non-human characters appear the adaptation starts to unravel and once the children leave earth the whole thing falls apart. Alfre Woodward is too youthful looking and much too regal as the eccentric Mrs Whatsit (think Miriam Margolis or Joan Plowright instead) and Kate Nelligan face is so mask like and inexpressive, she must have visited Faye Dunaway's plastic surgeon in recent years. For some reason they make her Mrs Which look like Glinda from The Wizard of Oz when she should have resembled a benign Wicked Witch of the West. In the end what lets this down most badly are the terrible special effects and art direction. I understand that this is a TV movie, but the CGI looked like something that could have been done 15 years earlier. Mrs Whatsits' centaur incarnation is a disaster as is the Chewbacca like suit for Aunt Beast, who in the novel is a velvety, elegant creature instead of the ungainly Big Foot like thing shown here. I could go on and on, nearly every artistic choice is a disaster, presumably because there wasn't a large enough budget to do this justice, but also because the design work lacks imagination and good judgement. This really would have needed the sense of wonder Spielberg brought to his early films. What a shame that with the current popularity of adapting children's literary fantasy series nobody thought of adapting A Wrinkle in Time and it's sequels for the big screen, giving it the scope it deserves.",0,A Wrinkle in Time (2003),E,0
"This movie leaves the intellectual mind thinking and trying to analyze the story. I too cannot understand why people would trash this movie. If you are a Jerry Bruckheimer fan, this movie may not suitable for u. This movie presents high degree of realism. The actors and actresses' performance is examplary. Not fake, just natural. No special sound.effects, so special side effects. The camera work is excellent, the music is oh so good. I can't wait to get the soundtrack. It leaves your body numb, like Constant Garderner.The directly has raw talent, certainly not a follower.",1,Descent (2007),E,0
"This movie gets both a 6/10 rating from me, as well as a 9/10. Here is why: As a standard horror movie for the standard horror crowd, where action and gore and scares are taken into consideration, this movie WILL bore you. It's basically a family drama similar to what you'd see on the Lifetime channel, but put in a horror universe. The story and formula are age-old, retreaded hundreds of times. If you're looking for any originality in the plot structure or the minimal conflicts, you'll be disappointed. Take away the zombies and you'll have something just as melodramatic as A Beautiful Mind, tripping on cheese. This is the 6/10. However, the basic synopsis and idea is pretty original and over-the-top. It's literally something you and your friends would joke about when you're half-drunk . . . but that joke actually got a theatrical release. The idea gets a 9/10 from me. The only reason it isn't perfect is because they could have taken it even further, but they didn't. The mix of both is mixed. I thought it was funny, but as with most all comedies, it wasn't THAT funny. I had my mom and little sister watch it with me and the jokes we made about it were funnier than the jokes scripted. There were moments of utter genius, but there were also moments of pure boredom. I sincerely hope that other movies take this kind of over-the-top risk and original ideas. I just can't say it was perfect, or even near it, because of the lack of originality to the plot. A GREAT family movie. A great movie to watch with a bunch of guys (or girls). A great movie to watch with anyone . . . but if you watch it alone, it will be a bit boring. Other people always make this kind of movie funnier and richer. 4/10",0,Fido (2006),E,0
"After all these years, of Peter O'Tool's brilliant, costly giving of his Soul, film after film, at last, Hollywood tosses him an Oscar recently. Country Dance showed up one night late, and of course, blew me out of my complainant niche in my alleged ""Life"". How does he do it? York again also is brilliant in this kind of play. Both psychological battleships loaded for bear.... Bravo to author, director, cast, and camera crew. No wonder the Nazi's lost to these Irish, Scot, English blends....brutal honesty hurts...back in the 70's, when I personally believed ""honesty"" was pure and absolutely vital to trust. I have modified my edgy extremes, and will settle for more human, warm flaws within myself and others. Forgiveness allows humanity to have a reverse gear, and allows us to fix our own bull headed egos and erotic mistakes....",1,Brotherly Love (1970),E,0
"Saw this movie in an early preview, and I cannot stress enough how bad I thought this film was. From the very beginning, the audience was groaning over Pacino's awful southern accent. Poor Al looked really, really haggard, and I can't decide whether this was purposely part of his role as a drug addicted publicist, or perhaps he just didn't get any sleep before coming to the set. Much worse than Pacino's close ups, however, is the wretched excuse for a plot. Early in the film we are given indications that Pacino's character is gay, and I suspect that is what the screenwriter had originally intended. Later, however, we are supposed to suspend our incredulity and believe that both Tea Leoni and Kim Basinger (both of whom are sleepwalking through lame roles) lust after this elderly, half dead looking, effeminate man with the ridiculous accent. The worst part overall was the main plot thread, which had to do with some corporate espionage that is never fully explained and we never, ever care about in the slightest. Because this was a preview I will reserve my final judgment, because of the possibility of re-shoots and editing, but you can bet I will not pay a cent to see this in theaters.",0,People I Know (2002),E,0
"I guess I was attracted to this film both because of the sound of the story and the leading actor, so I gave it a chance, from director Gregor Jordan (Buffalo Soldiers). Basically Ned Kelly (Heath Ledger) is set up by the police, especially Superintendent Francis Hare (Geoffrey Rush), he is forced to go on the run forming a gang and go against them to clear his own and his family's names. That's really all I can say about the story, as I wasn't paying the fullest attention to be honest. Also starring Orlando Bloom as Joseph Byrne, Naomi Watts as Julia Cook, Laurence Kinlan as Dan Kelly, Philip Barantini as Steve Hart, Joel Edgerton as Aaron Sherritt, Kiri Paramore as Constable Fitzpatrick, Kerry Condon as Kate Kelly, Emily Browning as Grace Kelly and Rachel Griffiths as Susan Scott. Ledger makes a pretty good performance, for what it's worth, and the film does have it's eye-catching moments, particularly with a gun battle towards the end, but I can't say I enjoyed it as I didn't look at it all. Okay!",0,Ned Kelly (2003),E,0
"The very first time I saw this I recoiled in HORROR at what was being presented as modern, liberated women. Sorry, but I cannot relate to whining idiots whose lives revolve around loveless sex and the acquisition of Gucci, Prada and Louis Vuitton labels. The troubling thing is that some may actually think this is how career women live in NYC. It's definitely not. These women are incredibly shallow and materialistic and as another reviewer said, they act like gold-digging hooches. This is not liberated womanhood and I'm glad it's gone. 0 stars and just plain AWFUL",0,Sex and the City (1998),E,0
"In this unlikely love triangle, set in 19th century Italy, `The Beauty and the Beast' is being turned upside down and inside out and then some: Giorgio, an army officer and the very image of male beauty, is being transferred away form his (married) lover Clara and sent to a small garrison somewhere in Piemont. There - initially much to his horror  Fosca, the grotesquely ugly cousin of his commander, develops an obsessive love for him. He suffers her passionate and demanding displays of affection out of pity and concern for her health (she is gravely ill), but becomes more and more fascinated by her  until the dramatic finale Do not miss this most unusual love story, as twisted as it may sound. Valeria d'Obici, who deservedly won a price for her portrayal of Fosca, is as alarming as she is touching. Buy the video, read the book, go see the musical!",1,Passion of Love (1981),E,0
"True, this is not John Sayles finest film (Brother From Another Planet) but it is not entirely forgettable either, if not for any other reason than its message. Like Batman, Wild Thing's parents were murdered in front of him, leaving him to fend for himself in 'The Zone,' a corrupt section of an unnamed city where greed and violence reign supreme. Instead of falling in with the likes of Chopper (Robert Davi) Wild Thing fights for justice, using his powers of Tai Chi and eerie cat impressions, occasionally lighting himself on fire. He becomes something of an urban legend, a modern day Robin Hood, and a hero for the ages. 1987 at its finest, WILD THING LIVES",1,Wild Thing (1987),E,0
"It came by surprise. . .the impact & resoloution this film had on my automatic way of being reactive to people & situations. Most vividly was the stirring of the emotion anger. Much like the way a spoiled child would be when reacting to not getting their way. . .a temper tantrum if you will. Thinking I was hiding this anger from others was the most ridiculous farce of all. What was this costing me? Soooo much love. . .sooo many blessings. Now I'm present to how incredible humbling myself feels, and having an ongoing attitude of gratitude for life. . .for what is happening in the moment, without my wild expectations for life to be a particular way, the way I think life or people ""should"" be. This film has contributed to the freedom I now feel to connect with others, without limits & expectations. . .and to connect with genuine love. . .without fear of loss. . .just to love first, and accept what love is given.",1,The Gospel of Lou (2003),E,0
