review,label,movie,group,famous
"I first saw The Victim (aka Out Of Contention) well over 25 years ago when I was very young. Being a passionate fan of Bewitched since I was a child, I loved to watch anything that starred Elizabeth Montgomery. This movie was (and still is) a real treat - whether you are a fan of Miss Montgomery's work or not. Elizabeth always shines in her roles, such as her portrayal as the rape victim in A Case Of Rape and as the suspected murderess in The Legend Of Lizzie Borden. Her performance in The Victim as Kate, a terrified woman trapped in an isolated house during a storm, with a killer after her is brilliant. If you like exciting suspenseful thrillers than this is one movie that will keep you on the edge of your seat till the end. Another great performance well worth mentioning is that of Eileen Heckhart who plays the eerie and suspicious housekeeper. Unfortunately like most of Miss Montgomery's movies, The Victim is not available on DVD and I believe that although it was released on VHS some years ago, it is a rarity these days. I was lucky to have taped it when it was aired on television some ten years ago and so have a nice copy of this very good movie. A must see!",1,The Victim (1972),D,0
"Stan Laurel and Oliver Hardy are the most famous comedy duo in history, and deservedly so, so I am happy to see any of their films. Professor Noodle (Lucien Littlefield) is nearing the completion of his rejuvenation formula, with the ability to reverse ageing, after twenty years. Ollie and Stan are the chimney sweeps that arrive to do their job, and very quickly Ollie wants to get away from Stan making mistakes. Ollie goes to the roof to help with the other end of the brush at the top of the chimney, but Stan in the living room ends up pushing the him back in the attic. After breaking an extension, Stan gets a replacement, a loaded gun, from off the wall, and of course it fires the brush off. Stan goes up to have a look, and Ollie, standing on the attic door of the roof, falls into the greenhouse. Stan asks if he was hurt, and Ollie only answers with ""I have nothing to say."" Ollie gets back on the roof, and he and Stan end up in a tug and pull squabble which ends up in Ollie falling down and destroying the chimney. Ollie, hatless, in the fireplace is hit on the head by many bricks coming down, and the butler Jessup (Sam Adams) is covered in chimney ash smoke, oh, and Ollie still has nothing to say to Stan. The boys decide to clean up the mess, and when Stan tears the carpet with the shovel, Ollie asks ""Can't you do anything right"", and Stan replies ""I have nothing to say"", getting the shovel bashed on his head. As Ollie holds a bag for Stan to shovel in the ashes, they get distracted by a painting on the wall, and the ashes end up down Ollie's trousers, so Stan gets another shovel bashed on the head. Professor Noodle finishes his formula, and does a final test on a duck, with a drop in a tank of water, changing it into a duckling. He also shows the boys his success, turning the duckling into an egg, and he next proposes to use a human subject, i.e. his butler. While he's gone, the boys decide to test the formula for themselves, but Ollie ends up being knocked by Stan into the water tank with all the formula. In the end, what was once Ollie comes out, an ape, and when Stan asks him to speak, all Ollie ape says is ""I have nothing to say"", and Stan whimpers. Filled with wonderful slapstick and all classic comedy you could want from a black and white film, it is an enjoyable film. Stan Laurel and Oliver Hardy were number 7 on The Comedians' Comedian. Very good!",1,Dirty Work (1933),D,0
"SPOILERS HEREIN My High School did all they could to try and motivate us for exams. But the most memorable method they used to get us into the right state of mind was a guest speaker, who was none other than Australian Kickboxing's favorite son, Stan ""The Man"" Longinidis. The first mistake they made was giving this guy a microphone, because he was screaming half the time despite us sitting no more than 3 or 4 feet away from him. Now, his speech was full of the usual ""if you fail to prepare, then prepare to fail"" stuff, but there were various instances where I got really worked up. The guy stood there in front of us preaching how throughout his life he did everything for himself and no-one else. He was offered many deals in the past to give up kick-boxing, but he never took his eye off the prize of becoming Australia's greatest kick-boxer. He said that he wasn't a sell-out, he was happy and a retiree, he wasn't ever involved in any other activity other than Kickboxing then he plugged his film. Yes, you heard right, he PLUGGED his new FILM. As he talked about it, he got a woman to come in and hold up a poster advertising it, and then he showed this shitty 4 minute clip of this vile film called ""Trojan Warrior"". (This all being before he was defeated by Gurkan Ozkan in his final career fight (for now)) Stan plays Ajax, a kick-boxing ex-special forces agent that is pulled into the seedy underworld of Melbourne. Ajax's cousin, Theo (Arthur Angel) recently sold out (well, at least Stan didn't stray too far away from EVERYTHING) to the feds, and as a result is on the run from all walks of organized crime. Ajax and Theo get into all sorts of ridiculous situations, from fighting in a Kebab shop to posing as playboys at a bondage party. It's all pretty ridiculous, but if Silverstein was actually aiming to make a credible film here, this man should never be handed a camera again. I'll admit, I was actually pumped to see this. I love action films, even if they're corny, and especially if it's set in my own backyard. But what I was introduced to was a film with acting that was appalling from the word ""go"", and continued to do so after the words ""for the love of God please make it stop!"", subplots were introduced and not even touched on again after they were out in the open, characters were just thrown in for absolutely NO reason whatsoever, and the most over-choreographed fight scenes that didn't even remotely reflect Stan's actual talent in Kickboxing. The cast consisted of useless cameo appearances by just about anyone REMOTELY famous (Dermot Brereton, Mark ""Chopper"" Read and Greg Matthews). The whole time you're sitting there and playing the guessing game of just who is standing there in the background. Too bad the movie relies heavily on split-second appearances by former celebrities. Remember those plot-holes I told you about? Ajax once upon a time was apparently locked up, wrongly accused for murdering his wife. Now, we hear that Ajax was in special forces via ONE single sentence in the WHOLE film, and then leave it for buggery. This is followed by another SINGLE sentence which persuades Ajax to help the same people who wrongly locked him up. Then, get this, at the end, it is revealed to Ajax that his wife isn't actually dead, but was sold into prostitution. Do we see her? No. Does Ajax go off to find her as soon as he hears this? No. Now THAT's a marriage! Amidst all this irritatingly puerile crap, some website described this film as "" a cross between Jackie Chan & Guy Ritchie "". Has this man ever sat down and watched a Jackie Chan film?! Chan shows more dexterity taking a dump than Stan did doing , well, ANYTHING! And Guy Ritchie is the crime-film Messiah, and you're comparing him to Salik Silverstein!? This film is more like a mix between ""Pizza"" and ""Enter The Ninja"". Now, where do you thing the whole ""Trojan Warrior"" title comes from? Ajax's fierce fighting skills like that of an Ancient Greek Warrior? No. The gangsters' unification to find Theo, like that of the Trojan Empire? No. It's because wait for it Theo carries a condom around with him. Yes, that right, because THEO is ALWAYS PREPARED with a Trojan BRAND RUBBER in his pocket, he is a Trojan WARRIOR! I had the displeasure of seeing ""Trojan Warrior"" on DVD, as well as it's ""special"" features:  Video clip of ""Chop Chop"", a rap song by Mark ""Chopper"" Read: Chopper did this for the sole purpose of proving that ANYONE can rap. The funny thing was Chopper just rapped for 30 seconds and then threw it over to these two albino teens from Doncaster, using such words as ""dis"" and ""dope"" etc in their Australian accents. Face it people, rap was developed in the States, LEAVE IT THERE! The clip looked like something a Channel 31 cameraman on ecstasy put together.  Bloopers: There was no real difference between these and the actual film.  Stan ""The Man"" Longinidis Kickboxing Featurette: This wasn't too bad, considering it was just 6 or 7 different fights shown from different angles (I think I saw Dennis Alexio fall over about 15 times in that 3 minute montage). I don't want to say this film contributes to the reason this country is going to hell when it comes to film, but... oh wait, I just did. My advice to anyone reading this is for you to go out and buy 4 or 5 copies of ""Trojan Warrior"", tape them together, and use it for a paperweight, because this movie is just that damn bad.",0,IMDb tt0386575,D,0
"Things to Come is that rarity of rarities, a film about ideas. Many films present a vision of the future, but few attempt to show us how that future came about. The first part of the film, when war comes to Everytown, is short but powerful. (Ironically, film audiences in its release year laughed at reports that enemy planes were attacking England--appeasement was at its height. Wells' prediction was borne out all too soon.) The montage of endless war that follows, while marred by sub-par model work, is most effective. The explanatory titles are strongly reminiscent of German Expressionist graphic design. The art director was the great William Cameron Menzies, and his sets of the ruins of Everytown are among his best work. Margaretta Scott is very seductive as the Chief's mistress. The Everytown of the 21st century is an equally striking design. The acting in the 21st century story is not compelling--perhaps this was a misfired attempt to contrast the technocratic rationality of this time with the barbarism of 1970. Unfortunately, the model work, representing angry crowds rushing down elevated walkways, is laughably bad and could have been done much better, even with 30s technology. This is particularly galling since the scenes of the giant aircraft are very convincing. This is redeemed by Raymond Massey's magnificent speech that concludes the film--rarely has the ideal of scientific progress been expressed so well. Massey's final question is more relevant now than ever, in an era of severely curtailed manned spaceflight. The scene is aided by the stirring music of Sir Arthur Bliss, whose last name I proudly share. Unfortunately, the VHS versions of this film are absolutely horrible, with serious technical problems. Most versions have edited out a rather interesting montage of futuristic workers and machines that takes us from 1970 to 2038. I hope a good DVD exists of the entire film.",1,Things to Come (1936),D,0
"A repressed housewife (an annoying lisping Angie Dickinson, whose body double treats/horrifies us with an extreme closeup of her delicates) is sexually bored by her husband and decides to branch-out. This directly results in a string of murders that soon involve a high-class prostitute (Nancy Allen, clearly I am in the wrong business if SHE can bring home $600 a night) and her psychologist (Michael Caine). If you are going to watch De Palma rip off (excuse me, ""pay homage to"") Hitchcock, watch ""Sisters"" instead of this. ""Dressed to Kill,"" while loaded with style and technical skill, is one of the tackiest thrillers I have had the displeasure of sitting through. The plot is absurd and tired. It does feature some surprisingly effective jump scares and nasty graphic murder sequences that should please any horror fan, as long as they can get past the silly story line, that must have been dated even in 1980.",0,Dressed to Kill (1980),D,0
"I have only praise for this film. From start to finish it captured the brilliance of Stephen Sondheim's musical. I am not a big fan of musicals most of them are very overdone. This one however changed my mind. I am an actor myself and have actully played Sweeney and I know how hard this role is. George Hearn gave a stunning, masterful and rounded performance worthy of the highest awards that we can give him (He won an Emmy and that's something.) Everything he does he turns to gold. He is so good it will blow your mind why he's not in films winning oscars. Lansbury is also very good and very funny. Sara Woods is creepy and wonderful as the Beggar Woman. All in all a great video. Pick it up if you can.",1,Sweeney Todd: The Demon Barber of Fleet Street (1982),D,0
"(WARNING: minor spoilers) I ran into this one partway through and watched from there, not knowing what it was or what the plot was. It certainly held my attention; I didn't know until the ending that it was based on a true story! The guy she used to do the dirty deed came out looking like a seriously nice guy who just got his head twisted around by a devious girl; I have to question how true to life that portrayal is. Anyone who would murder a husband and wife as they slept just can't be entirely nice. Still, I did have some sympathy for him, as he had been set up and taken advantage of; that much was made clear. My main complaint is with the ending (here comes the biggest spoiler! skip this paragraph if you don't want to learn it). A few minutes before it ended, there seemed no way for the truth to be discovered. The way it got discovered was in a ""sting"" operation, but my question is: how did the police get convinced to go along with it? The movie didn't show us that, and it seemed a bit too convenient absent the explanation of how they were persuaded to do it. I think the way they handled that was done for dramatic purposes, as the omission of the explanation lent an aura of suspense to the crucial scene which otherwise wouldn't have been there (we would already have known what the scene was about, and what was going on with Brad in it). Otherwise, this is a pretty good film; I give it 7/10. It made me think. Now I'm interested to find out the facts of the real case. One more thing: the movie was done in 1996. Some of the reviews here seem to be treating it as a more recent movie. P.S. Meadow Sisto is lovely. I hadn't seen her before. She can act a little, too (always a plus in her line of work, LOL).",1,Twisted Desire (1996),D,0
"Without going into any details of a good...if a somewhat provocative...TV movie, there seems to be a consensus among the users that there is ""no one to blame here"". I disagree. Yes, the young male lover of Beverly D'Angelo, played by Rob Estes may be young and horny (and good looking) because he's not getting as much as he wants from mom, that doesn't mean, he can climb in bed and have sex with daughter. OK, he can use the excuse he just wanted to watch TV with her, but I don't buy it. People have to take responsibility for their actions. Not only did he ""cross the line"" by having sex with a very vulnerable teen, when he was supposedly ""the responsible adult"",he said, ""Your mom must never know about this."" How responsible was he then? Yes, it's a good flick, but he got what was coming to him. Don't kid yourselves folks that what happened was ""no one's fault"".",1,IMDb tt0165503,D,0
"Definitely an odd debut for Michael Madsen. Madsen plays Cecil Moe, an alcoholic family man whose life is crumbling all around him. Cecil grabs a phone book, looks up the name of a preacher, and calls him in the middle of the night. He goes to the preacher's home and discusses his problems. The preacher teaches Cecil to respect the word of God and have Jesus in his heart. That makes everything all better. Ahh...if only everything in life were that easy. The fact that this ""film"" looks as if it was made with about $500 certainly doesn't help. 1/10",0,Against All Hope (1982),D,0
"""Unconditional Love"" starts with great promise. As directed by P. J. Hogan, the film works great up until the last third of the movie, when it falls flat on its face. The screen play Mr. Hogan and Jocelyn Moorehouse wrote showed a myriad of possibilities that fizzle at the end. It appears the artistic team behind the movie had great hopes for it to play differently. The reality is this is a film that is looking in different directions in how to bring it to a resolution that ultimately fails. Don't get me wrong, the movie is tremendously appealing and will resonate with a lot of its viewing public. Based on the strong cast, we decided to take a look. The tremendously talented Kathy Bates is the perfect choice to play Grace Beasley, the woman who finds at the beginning of the film that all is not well in her marriage. Ms. Bates is an excellent actress who deserved much better, even when her character is not helped by what the authors have her do in the film. Rupert Everett is always dependable into delivering. His role, as the late Victor Fox's lover is well written, that is, until Dirk is lured into coming to Chicago to find Victor's murderer. It's bizarre and it defies all rules of logic. Dirk doesn't look capable of hurting a fly, let alone hunt down a killer with the help of Grace and her daughter-in-law, the incredible funny, Maudey. As played by Meredith Eaton, this little woman, Maudey, is one of the best things in the film. She's is brash and tells it as she sees it. Peter Sarsgaard, one of the best actors working in films these days has nothing to do in the picture; he is totally wasted. Dan Aykroyd also has nothing to do. We see him at the beginning and at the end of the film and his Max doesn't make sense. He appears to want changes in his life and his marriage, only to come back to Grace without any explanation, all things forgiven. The English actors are good. Lynn Redgrave has a better opportunity as the hysterical Nola. Jonathan Pryce is seen throughout the film as a ghost singing bland songs. Julie Andrews makes a funny contribution in a couple of priceless scenes. Ultimately the television show hosted by Sally Jesse Raphael is a turn off and doesn't add anything to the movie. The best part is hearing Kathy Bates singing. What a beautiful voice she has! In fact, Ms. Bates is the best excuse for staying until the end.",1,Unconditional Love (2002),D,0
