review,label,group
"A terrible storyline (Amis at his worst), pointless and self-conscious 'decadence', obvious shock tactics and patchy acting make this film (rather like ""Rancid Aluminium"") embody everything that went wrong with the much-vaunted British film revival. The humour is, at best, limp, and the pretentiousness of the whole set-up (including some kind of ""internet terrorist group"" - ooh, how contemporary) really begins to grate.  Final summary - a half-baked attempt to be 'edgy' that does no-one any favours. Still, it's always a pleasure to see Katy Carmichael on screen...  ",0,B
"Like most people out there who have watched James Bond 007 movies. Most people NEVER knew that Thunderball was originally the FIRST 007 Movie to be released, but after Ian Fleming, wrote the story with kevin mcclory and jack whittingham. The 2 other authors took Ian Fleming to court and WON THE CASE providing evidence that ian fleming took the ideas of SPECTRE(Special Executive In CounterIntelligence Terrorism Revenge Extortion). So rather than making Thunderball they(fleming,broccoli,saltzman) went on to make Dr NO.  This movie had the best of the best, From getting sean connery to come back one more time, he was paid over 5,000,000 for NSNA. Irvin Kershner and Sean Connery had problems on the set, that much is true. But overall this movie was up there i think with(Thunderball, Licence To Kill, Dr No) those are my favorite from the bond series. David Dryer was hired for Special Photographic Effects, he was working at the time on Bladerunner beFORE NEVER SAY NEVER AGAIN. The 100 million dollar yacht makes the disco volante, look like a canoe. This movie starred the best Villian in a bond movie just behind dr no. Klaus Maria Brandeau held together this neurotic business like calm manner, with a little wit to his authority over bond. Barbara Carrera was excellent as fatima blush.  The Music was better than every score that didnt contain John Barry doing the backround score music in most bond films. Michel Legrand is not big in the usa compared to over in europe, he has played with miles davis and many other GREAT jazz musicians over the years. Its a little bland at times but the 007 theme that happens around 3 or 4 times in the Movie NEVER SAY NEVER AGAIN IS so Cool, i like it more than the original.  007 is back One More Time  Timothy Dalton explained it right i thought, YOU CANT RELATE TO A SUPERMAN OR A SUPERHERO, he or she has to be human and have feelings. He was by far the BEST SERIOUS TRUE TO FLEMINGS VERSION OF BOND. But Sean Connery proves he can still do the role that made him and others to follow, i bet at 75 now he could still pull off a villian role in a MCCLORY 007 movie if one ever surfaces.  ",1,B
"Probably the worst Bollywood film I've seen.  No plot line. Very little character developments.  Full of silly and pointless humor. The whole film was chaotic and direction-less. There was no proper ending to the story. The airport was filmed in a shopping mall.   Same story chewed over and over again until you want to say ""please, just move on with it!!"" Even the song and dance was pointless and badly choreographed.  The only good thing about this movie is that there were hot bods all around... but then most of the Bollywood movies have that anyways these days.  Btw I'm not from an Indian background  2/10",0,B
"There isn't much to say about this film, it is horrible.  The acting and dialog are way far away from even decent, the story of the hybrid werewolf's is not very well explained and the whole thing has plot holes here and there.  CGI is something you wouldn't like to see. It so amateurish that it makes me vomit.  The only good thing on the DVD was in the Extras. The gag reel. Everything else, just waste of time and money. I hope noone will buy this, this is not even worth renting.  Just stay away of this.",0,B
"This is one of Crichton's best books. The characters of Karen Ross, Peter Elliot, Munro, and Amy are beautifully developed and their interactions are exciting, complex, and fast-paced throughout this impressive novel.  And about 99.8 percent of that got lost in the film. Seriously, the screenplay AND the directing were horrendous and clearly done by people who could not fathom what was good about the novel. I can't fault the actors because frankly, they never had a chance to make this turkey live up to Crichton's original work. I know good novels, especially those with a science fiction edge, are hard to bring to the screen in a way that lives up to the original. But this may be the absolute worst disparity in quality between novel and screen adaptation ever. The book is really, really good. The movie is just dreadful.",0,B
"This is Clive Barker's masterpiece in my opinion. The movie has a great storyline and some amazing make-up and effects. The one thing I would love to see happen is a sequel. The movie was set up for a sequel and with improved technology the second movie could be incredible. David Cronenberg must appear in a sequel as well as Craig Sheffer. But this particular movie was a great original, creative and entertaining idea and I could watch it over and over again. Cronenberg was perfect in this movie and Sheffer added an interesting spice to the film.",1,B
"I generally love these 1930 mystery/police Charlie Chan type of movies, and this is no exception. However, something seems bad with this movie. A late attempt to switch from cerebral Moto movies centered around the plot contrivances to a salad bar spoilt by comedy relief that is as relieving as sore feet. A typecast buffoon appears from nowhere impersonating a clumsy Englishman who plays the detective, and even other characters seem entangled into providing comedy relief. The plot may seem odd or a bare excuse to us today, but back then the possibility of epochal archaeological discoveries was not only real, but a commonplace occurrence.",1,B
"If this movie should be renamed, it should be ""The Jackasses of Hazzard."" To sum it up, this movie is nothing but 88 minutes of two immature country punks joyriding the famed 1968 Dodge Charger around town and in the country, chasing the girls and eluding the law.  I have been a fan of the ""Dukes"" and what tarnishes the movie is the characters are out of key. The overindulgence of profanity, sexual references, and drug use, has made the good name of the ""Dukes"" into trailer trash.  Side from comparing it to the television show, the acting was horrible. The only actor that got it right was the famed 1969 Dodge Charger named General Lee. The others have exaggerated the character's role which tarnished the movie.  The ""Dukes"" have been another casualty of the 21-st century Hollywood television-to-big screen transition tragedy. Skip this movie and just buy the television series on DVD.  My grade: F",0,B
"In 1979 Lucio Fulci released his film Zombi. However, due to the earlier import of George Romero's Dawn of the Dead, which had gone by that name for its Italian release, it was retitled to Zombi 2. (Which also had the bonus of letting the audience think this was a sequel to the second Romero movie). Continuing this theme, the second Zombi film, which would have been called Zombi 2, was then consequently titled Zombi 3. In the UK, the original Zombi film (that is, Zombi 2) was titled ""Zombie Flesh Eaters"". To continue THIS theme, the second Zombi film (Zombi 3) was then titled ""Zombie Flesh Eaters 2"" for its UK release. (Are you following all this?) So if Zombie Flesh Eaters was Fulci's Dawn, then is 2 his Day of the Dead? While this is only a flippant observation, this tale of military compounds, helicopters and a plodding narrative certainly does bear a vague thematic resemblance.  Some of Fulci's European direction compels in a film like this, but the acting, dubbing and exposition-heavy script are absolutely horrendous. Its ecological message is so forced and overstated it can no longer be considered a subtext, while there's an (unintentionally) hilarious Birds homage. Combining this last element with MOR 80s rock is not a good idea. For some reason I couldn't stop thinking of Time of the Apes (q.v.) the whole time I was watching this. This is obviously not a good thing.  While there's nothing here to rival topless scuba-diving, shark wrestling zombies and eyeballs on a splinter, Fulci's misogynistic leanings do get a work out with a hotel cleaner's mouth being ground into a mirror until it gushes blood. His fannish gore predilections also see a hand severing. Both themes are combined when a woman's face is ripped off, first by one zombie, then a zombie foetus that tears out of a pregnant woman's stomach.  Production-wise, this is obviously a step up from Zombi, coming five years later. (Nine years in worldwide release terms). But without the original's low-key charm it struggles, while Stefano Mainetti's music is inappropriate and uninspired. Fabio Frizzi's score was one of the best things about the '79 movie. Here zombie attacks are played out to what sounds unnervingly like Bonnie Tyler's ""Holding Out For A Hero"". In the middle of this carnage we get an irksome love interest, and Roger and Kenny, two bland macho types who do everything with acrobatic urgency and constantly state the obvious. (""We're out of ammunition"" to a stalling gun is a particular standout). But where it also falls down is in the zombies themselves. Low key or not, Fulci's original had truly magnificent, rotting zombies. Skull faces, worms in eye sockets... they really were something to behold. By contrast, this dull follow-up opts for the more traditional ""men with a bit of paint on their faces"" option.   The climax rips off too many Romero movies to even be funny, while the use of the DJ is a crass and cheap narrative device. Not containing the same elements of outrage and gratuitous nudity of the first, this is unlikely to have the same cult appeal.   It turns out that Fulci actually walked out on the project after reportedly directing just fifteen minutes, the rest filmed by Bruno Mattei. I'm fairly sure that even Fulci would have balked at the ludicrous ""flying zombie head"" scene, and so credit to the director for having the good sense to leave. Unfortunately, however, it's his name that's above the film title on releases, so the majority of people will be left with the impression that this is a Fulci film through and through. On that scale then it's a major setback for him, for this movie commits what you imagine Fulci would regard as the worst crime of all: that of being boring.",0,B
"In director Sooraj Barjatya's Vivah,20-something Delhi boy Shahid Kapur finds himself smitten by the demure, small-town girl his father has selected for him to marry. Drawn to her innocence and simplicity, Shahid agrees to the marriage barely moments after he's met her at her home in Madhupur, and the young lady in question Amrita Rao seems equally floored by her charming suitor. The marriage is fixed for six months later, and the couple find themselves in the first throes of young, budding love, their geographical distance notwithstanding. But Amrita, who's been raised by her uncle and her aunt after her parents' death, is struck by a horrible calamity just hours before the marriage. And then, it's up to Shahid to play the honourable lover and to embrace her unconditionally.Much in the same vein as Hum Aapke Hain Koun and Hum Saath Saath Hain, Barjatya's new film Vivah too is on one level a family drama with an extremely idealistic premise. But sadly, the plot of this new film comes off looking way too outdated, even more far-fetched than those regressive Ekta Kapoor soaps. And the problem is clear  you just can't relate to such squeaky-clean characters who don't have one bad bone in their bodies. There are many things that work in favour of and against Hindi films, and timing is one such important factor. Twenty-five years ago, perhaps the plot of Vivah may not have felt like such a stretch, but today it just seems like the product of a mind stuck in a time warp. Perhaps the film's only saving grace is the fact that it oozes sincerity from start to finish, you can make out right away that the filmmaker's intention is not to deceive. Judging both by Barjatya's previous films and by closely examining this new one you can safely declare that Barjatya believes in a perfect world, he believes in his good-as-gold characters, he believes that large families can live together happily under the same roof without the slightest bumps.But alas, he's unable to translate his vision to the screen. It's difficult to overlook how one-dimensional his protagonists are  Shahid and Amrita, both virtuous and virginal  I mean, think about it, the first time they hold hands is an hour and twenty minutes into the film. Barjatya may think he's returning to his Maine Pyar Kiya roots with Vivah, but truth is that the reason we embraced Salman and Bhagyashree in that film, or even Salman and Madhuri in Hum Aapke Hain Koun is because they had such fantastic chemistry. Because although they were created out of the same mould as Shahid and Amrita in Vivah, those pairs had mischief and masti. Shahid and Amrita are just insipid and boring.For a film that relies so heavily on music to narrate its story, the filmmaker chooses a string of 70s-style tunes that only further slacken the film's deadening pace. But if I had to choose just one reason to explain why Vivah doesn't work for me, it's because I'm not sure I can relate to any of the characters who inhabit Barjatya's story. To some perhaps, Vivah will give hope, that a perfect world like this is actually out there somewhere. But I'm a little cynical I guess. So, give me the coquettish Madhuri of Hum Aapke Hain Kaun, give me the bratty Salman of Maine Pyar Kiya, I'll even take that mischievous Karisma Kapoor of Hum Saath Saath Hain. But save me from these dullards. You know, some marriages aren't made in heaven. This one's Vivah!",0,B
